エリア,期間(週次),飲食店のジャンル,2019年同週比[%]
栃木県全体,2020年8月第1週,すべて,-16.030047022
栃木県全体,2020年8月第1週,ファミレス・ファストフード,-8.515190415
栃木県全体,2020年8月第1週,中華,-24.084420734
栃木県全体,2020年8月第1週,和食,-9.793048081
栃木県全体,2020年8月第1週,居酒屋・バー,-45.352532664
栃木県全体,2020年8月第1週,洋食・西洋料理,-20.295143976
栃木県全体,2020年8月第1週,肉料理,-13.120357199
栃木県全体,2020年8月第1週,鍋料理,-39.823008850
栃木県全体,2020年8月第2週,アジア・エスニック,-19.716123309
栃木県全体,2020年8月第2週,カフェ・スイーツ,-34.464860192
栃木県全体,2020年8月第2週,すべて,-40.051600111
栃木県全体,2020年8月第2週,ファミレス・ファストフード,-35.835597826
栃木県全体,2020年8月第2週,中華,-49.639616409
栃木県全体,2020年8月第2週,和食,-42.125082757
栃木県全体,2020年8月第2週,居酒屋・バー,-58.405134517
栃木県全体,2020年8月第2週,洋食・西洋料理,-38.603368097
栃木県全体,2020年8月第2週,肉料理,-34.808101505
栃木県全体,2020年8月第2週,鍋料理,-48.241206030
栃木県全体,2020年8月第3週,アジア・エスニック,-1.784055008
栃木県全体,2020年8月第3週,カフェ・スイーツ,-11.352934506
栃木県全体,2020年8月第3週,すべて,-18.667717161
栃木県全体,2020年8月第3週,ファミレス・ファストフード,-3.046168491
栃木県全体,2020年8月第3週,中華,-26.614068029
栃木県全体,2020年8月第3週,和食,-19.022130276
栃木県全体,2020年8月第3週,居酒屋・バー,-42.633249425
栃木県全体,2020年8月第3週,洋食・西洋料理,-20.863101357
栃木県全体,2020年8月第3週,肉料理,-14.504736931
栃木県全体,2020年8月第3週,鍋料理,-28.303723534
栃木県全体,2020年8月第4週,アジア・エスニック,8.255227109
栃木県全体,2020年8月第4週,カフェ・スイーツ,-4.128527792
栃木県全体,2020年8月第4週,すべて,-13.185701817
栃木県全体,2020年8月第4週,ファミレス・ファストフード,0.696864111
栃木県全体,2020年8月第4週,中華,-21.825447982
栃木県全体,2020年8月第4週,和食,-12.734852078
栃木県全体,2020年8月第4週,居酒屋・バー,-42.412043084
栃木県全体,2020年8月第4週,洋食・西洋料理,-17.941693239
栃木県全体,2020年8月第4週,肉料理,-6.576764368
栃木県全体,2020年8月第4週,鍋料理,-34.419418325
栃木県全体,2020年9月第1週,アジア・エスニック,-1.855223234
栃木県全体,2020年9月第1週,カフェ・スイーツ,-12.599567833
栃木県全体,2020年9月第1週,すべて,-15.046988210
栃木県全体,2020年9月第1週,ファミレス・ファストフード,-10.555050045
栃木県全体,2020年9月第1週,中華,-1.953839797
栃木県全体,2020年9月第1週,和食,-15.253648155
栃木県全体,2020年9月第1週,居酒屋・バー,-40.310658588
栃木県全体,2020年9月第1週,洋食・西洋料理,-18.356591790
栃木県全体,2020年9月第1週,肉料理,-4.743483053
栃木県全体,2020年9月第1週,鍋料理,-41.545588545
栃木県全体,2020年9月第2週,アジア・エスニック,1.682571572
栃木県全体,2020年9月第2週,カフェ・スイーツ,-11.206392020
栃木県全体,2020年9月第2週,すべて,-15.184053110
栃木県全体,2020年9月第2週,ファミレス・ファストフード,-16.444073456
栃木県全体,2020年9月第2週,中華,-15.146696489
栃木県全体,2020年9月第2週,和食,-16.207673049
栃木県全体,2020年9月第2週,居酒屋・バー,-37.300603843
栃木県全体,2020年9月第2週,洋食・西洋料理,-17.698497920
栃木県全体,2020年9月第2週,肉料理,-3.387545119
栃木県全体,2020年9月第2週,鍋料理,-22.842639594
栃木県全体,2020年9月第3週,アジア・エスニック,13.166065285
栃木県全体,2020年9月第3週,カフェ・スイーツ,1.151686007
栃木県全体,2020年9月第3週,すべて,-4.518930764
栃木県全体,2020年9月第3週,ファミレス・ファストフード,-17.501001201
栃木県全体,2020年9月第3週,中華,-5.323906836
栃木県全体,2020年9月第3週,和食,-7.150512463
栃木県全体,2020年9月第3週,居酒屋・バー,-22.664774051
栃木県全体,2020年9月第3週,洋食・西洋料理,-10.325833546
栃木県全体,2020年9月第3週,肉料理,9.436208203
栃木県全体,2020年9月第3週,鍋料理,-22.756686799
栃木県全体,2020年9月第4週,アジア・エスニック,11.991472731
栃木県全体,2020年9月第4週,カフェ・スイーツ,1.163412525
栃木県全体,2020年9月第4週,すべて,-1.551292302
栃木県全体,2020年9月第4週,ファミレス・ファストフード,-4.372294372
栃木県全体,2020年9月第4週,中華,3.613744076
栃木県全体,2020年9月第4週,和食,-1.894606221
栃木県全体,2020年9月第4週,居酒屋・バー,-27.369554006
栃木県全体,2020年9月第4週,洋食・西洋料理,-8.897968449
栃木県全体,2020年9月第4週,肉料理,12.636170659
栃木県全体,2020年9月第4週,鍋料理,-30.492791048
栃木県全体,2020年10月第1週,アジア・エスニック,8.229545890
栃木県全体,2020年10月第1週,カフェ・スイーツ,-7.060839864
栃木県全体,2020年10月第1週,すべて,-13.488279224
栃木県全体,2020年10月第1週,ファミレス・ファストフード,-12.390158172
栃木県全体,2020年10月第1週,中華,-14.268433180
栃木県全体,2020年10月第1週,和食,-18.763624218
栃木県全体,2020年10月第1週,居酒屋・バー,-32.659625431
栃木県全体,2020年10月第1週,洋食・西洋料理,-13.235974592
栃木県全体,2020年10月第1週,肉料理,2.556688113
栃木県全体,2020年10月第1週,鍋料理,-29.515418502
栃木県全体,2020年10月第2週,アジア・エスニック,62.939984806
栃木県全体,2020年10月第2週,カフェ・スイーツ,24.895510003
栃木県全体,2020年10月第2週,すべて,22.965849055
栃木県全体,2020年10月第2週,ファミレス・ファストフード,8.019639935
栃木県全体,2020年10月第2週,中華,13.721158567
栃木県全体,2020年10月第2週,和食,22.188992599
栃木県全体,2020年10月第2週,居酒屋・バー,-10.193280505
栃木県全体,2020年10月第2週,洋食・西洋料理,22.868929274
栃木県全体,2020年10月第2週,肉料理,51.067599628
栃木県全体,2020年10月第2週,鍋料理,-4.453665284
栃木県全体,2020年10月第3週,アジア・エスニック,22.422921208
栃木県全体,2020年10月第3週,カフェ・スイーツ,12.969090676
栃木県全体,2020年10月第3週,すべて,5.241495777
栃木県全体,2020年10月第3週,ファミレス・ファストフード,-7.095864662
栃木県全体,2020年10月第3週,中華,-13.051470588
栃木県全体,2020年10月第3週,和食,3.732135134
栃木県全体,2020年10月第3週,居酒屋・バー,-19.299363057
栃木県全体,2020年10月第3週,洋食・西洋料理,-0.684197124
栃木県全体,2020年10月第3週,肉料理,27.747747748
栃木県全体,2020年10月第3週,鍋料理,-15.577889447
栃木県全体,2020年10月第4週,アジア・エスニック,23.934252386
栃木県全体,2020年10月第4週,カフェ・スイーツ,3.332820416
栃木県全体,2020年10月第4週,すべて,-3.287520279
栃木県全体,2020年10月第4週,ファミレス・ファストフード,-10.941475827
栃木県全体,2020年10月第4週,中華,-17.512589928
栃木県全体,2020年10月第4週,和食,-6.959481489
栃木県全体,2020年10月第4週,居酒屋・バー,-21.281156644
栃木県全体,2020年10月第4週,洋食・西洋料理,-6.212143596
栃木県全体,2020年10月第4週,肉料理,13.694477396
栃木県全体,2020年10月第4週,鍋料理,-37.054459924
栃木県全体,2020年10月第5週,アジア・エスニック,2.411096630
栃木県全体,2020年10月第5週,カフェ・スイーツ,-2.516258433
栃木県全体,2020年10月第5週,すべて,-11.943200148
栃木県全体,2020年10月第5週,ファミレス・ファストフード,-2.004357298
栃木県全体,2020年10月第5週,中華,-25.491936172
栃木県全体,2020年10月第5週,和食,-18.140054600
栃木県全体,2020年10月第5週,居酒屋・バー,-25.966307508
栃木県全体,2020年10月第5週,洋食・西洋料理,-9.347063273
栃木県全体,2020年10月第5週,肉料理,-1.534733441
栃木県全体,2020年10月第5週,鍋料理,-29.719514621
栃木県全体,2020年11月第1週,アジア・エスニック,5.829841501
栃木県全体,2020年11月第1週,カフェ・スイーツ,2.134086540
栃木県全体,2020年11月第1週,すべて,-3.109395481
栃木県全体,2020年11月第1週,ファミレス・ファストフード,12.876712329
栃木県全体,2020年11月第1週,中華,-17.129241726
栃木県全体,2020年11月第1週,和食,-5.555555556
栃木県全体,2020年11月第1週,居酒屋・バー,-23.835686450
栃木県全体,2020年11月第1週,洋食・西洋料理,-7.723750561
栃木県全体,2020年11月第1週,肉料理,20.566479105
栃木県全体,2020年11月第1週,鍋料理,-2.507275576
栃木県全体,2020年11月第2週,アジア・エスニック,26.120507400
栃木県全体,2020年11月第2週,カフェ・スイーツ,-1.779891781
栃木県全体,2020年11月第2週,すべて,-4.560282989
栃木県全体,2020年11月第2週,ファミレス・ファストフード,-3.544776119
栃木県全体,2020年11月第2週,中華,-5.431585913
栃木県全体,2020年11月第2週,和食,-4.574476914
栃木県全体,2020年11月第2週,居酒屋・バー,-30.013817206
栃木県全体,2020年11月第2週,洋食・西洋料理,-9.796458917
栃木県全体,2020年11月第2週,肉料理,5.727809623
栃木県全体,2020年11月第2週,鍋料理,-23.222748815
