week,week_JP,weeknum,pref,newcase_day,newdeath_day,emergency,GZnew,cumGZ,newcaseday14,resview,in_city,in_pref,out_pref,treat,avg_temp,avg_rain,infectious_l1,infectious_l2,sum_pop,pop_resid,tests,newcase_lead1,newcase_lead2,tests_lead1,tests_lead2,cumcases,susceptible,sales_per,customers_per
2020-10-05,2020年10月第2週,41,Yamanashi,3,0,0,112,549,2,40.546006067,2.364894903,0.249472761,1.550742013,Yamanashi,60.46571428571429,29.642857142857142,22.747506509672167,13.29946442334737,844798,811000,197,2,4,222,207,197,810803,696299.2222222222,307.05555555555554
2020-10-12,2020年10月第3週,42,Gunma,15,0,0,0,0,24,1.104964446,2.08429455,3.470224907,-7.796261661,Neighboring_prefs,63.43571428571428,2.7857142857142856,52.49568748763017,111.40946062198132,1984994,1942000,957,93,34,2129,908,774,1941226,590904.91,167.18
2020-10-12,2020年10月第3週,42,Ibaraki,19,1,0,0,0,18,3.396336825,2.358515192,0.532038624,-12.606863037,Neighboring_prefs,62.05142857142857,3.738095238095238,61.59391835312182,42.65048916388883,2865266,2860000,476,13,29,139,417,728,2859272,733830.5348837209,275.93023255813955
2020-10-12,2020年10月第3週,42,Nagano,6,3,0,0,0,6,27.043286307,3.083899126,-1.965650365,-10.412893024,Neighboring_prefs,58.15785714285714,2.7857142857142856,20.08026446774863,21.321279891361588,2145807,2049000,988,8,9,1193,977,326,2048674,620898.25,329.94117647058823
2020-10-12,2020年10月第3週,42,Shizuoka,12,0,0,0,0,13,3.250927193,3.286111453,-2.469192366,-29.398866489,Neighboring_prefs,67.42571428571429,2.261904761904762,31.2939058491492,37.69055882079977,3734200,3644000,2203,14,68,2104,2754,578,3643422,588249.0775862068,265.2241379310345
2020-10-12,2020年10月第3週,42,Tochigi,21,0,0,0,0,22,5.241495777,2.522103743,-2.105555113,-20.133415566,Neighboring_prefs,62.072857142857146,3,36.080337338284735,40.049372982351265,1987228,1934000,3012,12,12,3054,2299,465,1933535,728741.4655172414,362.1896551724138
2020-10-12,2020年10月第3週,42,Yamanashi,2,0,0,116,665,2,25.748834456,2.628937064,0.796139886,19.248658888,Yamanashi,59.629999999999995,3.607142857142857,10.742278413718529,11.651965960487246,858806,811000,222,4,13,207,310,199,810801,821244,344.6666666666667
2020-10-19,2020年10月第4週,43,Gunma,93,0,0,0,0,85,-5.142365125,1.913938996,6.582333358,-6.231817422,Neighboring_prefs,58.89714285714286,1.4642857142857142,111.36966026003982,129.65125523371654,1991543,1942000,2129,34,24,908,872,867,1941133,598385.78,171.2
2020-10-19,2020年10月第4週,43,Ibaraki,13,0,0,0,0,15,-2.451696736,1.496242165,3.908914019,-10.8325108,Neighboring_prefs,59.18,2.119047619047619,42.79480392330685,52.17865595298411,2870848,2860000,139,29,48,417,358,741,2859259,794636.77906976745,295.66279069767444
2020-10-19,2020年10月第4週,43,Nagano,8,0,0,0,0,8,11.17281057,2.939104419,1.568257969,-10.447621579,Neighboring_prefs,52.13428571428571,4.892857142857143,21.67919335935791,25.483664067446192,2153355,2049000,1193,9,27,977,1605,334,2048666,631663.0147058824,341.9117647058824
2020-10-19,2020年10月第4週,43,Shizuoka,14,0,0,0,0,16,-1.179363097,2.762211028,0.35302362,-21.304282444,Neighboring_prefs,62.15428571428572,3.4761904761904763,37.84983937245674,94.17557247913632,3747119,3644000,2104,68,90,2754,2902,592,3643408,612980.5689655172,269.0689655172414
2020-10-19,2020年10月第4週,43,Tochigi,12,0,0,0,0,11,-3.287520279,1.598779329,3.114892324,-6.036720827,Neighboring_prefs,58.16428571428571,2.107142857142857,40.7005710740799,32.408580024768185,1999539,1934000,3054,12,9,2299,2005,477,1933523,741680.5,359.6034482758621
2020-10-19,2020年10月第4週,43,Yamanashi,4,0,0,143,808,7,17.93804563,2.871861697,4.267000112,6.323348383,Yamanashi,53.44571428571429,3.142857142857143,11.611599558540831,22.479664632399928,868318,811000,207,13,25,310,308,203,810797,815289.4444444445,358.1111111111111
