date,pref,sales,customers,avg_temp,avg_rain,newcase_day,total_case,newdeath_day,total_death,emergency,GZnew,cumGZ,newcaseday14,lsales,lcustomers,sales_per,customers_per,dummy_school_closure,dummy_gathering_restriction
2019-01-20,Gunma,9596244,3631,41.27,0,0,0,0,0,0,0,0,0,16.076882329879815,8.197263371414335,95962.44,36.31,0,0
2019-01-20,Yamanashi,1888628,882,35.69,0,0,0,0,0,0,0,0,0,14.451361197498091,6.782192056006791,104923.77777777778,49,0,0
2019-01-20,Nagano,5876409,3915,35.06,4.166666666666667,0,0,0,0,0,0,0,0,15.586456419027165,8.272570608424903,86417.7794117647,57.5735294117647,0,0
2019-01-20,Shizuoka,10711413,6061,45.5,0.16666666666666666,0,0,0,0,0,0,0,0,16.18682036649468,8.709630081951286,92339.7672413793,52.25,0,0
2019-01-21,Ibaraki,6891771,2587,38.78,0,0,0,0,0,0,0,0,0,15.745838649148157,7.8582541821860294,80136.87209302325,30.08139534883721,0,0
2019-01-21,Tochigi,4032920,2397,38.39,0,0,0,0,0,0,0,0,0,15.210001237308651,7.781973234434385,69533.10344827586,41.327586206896555,0,0
2019-01-21,Gunma,4714818,1708,38.66,0,0,0,0,0,0,0,0,0,15.3662208730926,7.443078374348516,47148.18,17.08,0,0
2019-01-21,Yamanashi,1262286,498,37.58,0,0,0,0,0,0,0,0,0,14.04843492081357,6.210600077024653,70127,27.666666666666668,0,0
2019-01-21,Nagano,3936875,2315,33.02,0.3333333333333333,0,0,0,0,0,0,0,0,15.185897819358331,7.747164966520335,57895.220588235294,34.044117647058826,0,0
2019-01-21,Shizuoka,6625289,3201,45.14,0,0,0,0,0,0,0,0,0,15.70640455152663,8.071218539969863,57114.56034482759,27.594827586206897,0,0
2019-01-22,Ibaraki,7209254,2735,37.28,0,0,0,0,0,0,0,0,0,15.790876036501631,7.913886714856082,83828.53488372093,31.802325581395348,0,0
2019-01-22,Tochigi,4673600,2542,36.05,0,0,0,0,0,0,0,0,0,15.357440210615614,7.8407064517494,80579.31034482758,43.827586206896555,0,0
2019-01-22,Gunma,7328951,2374,37.58,0,0,0,0,0,0,0,0,0,15.807342953116773,7.772331575169614,73289.51,23.74,0,0
2019-01-22,Yamanashi,1341874,445,34.7,0,0,0,0,0,0,0,0,0,14.109577702389009,6.09807428216624,74548.55555555556,24.72222222222222,0,0
2019-01-22,Nagano,4138501,2297,32.72,1.6666666666666667,0,0,0,0,0,0,0,0,15.235844202941001,7.739359202689098,60860.30882352941,33.779411764705884,0,0
2019-01-22,Shizuoka,8388947,3676,45.019999999999996,0,0,0,0,0,0,0,0,0,15.942425564011359,8.209580483475577,72318.50862068965,31.689655172413794,0,0
2019-01-23,Ibaraki,9132312,3305,39.56,0,0,0,0,0,0,0,0,0,16.02732945161981,8.103191752285786,106189.67441860466,38.43023255813954,0,0
2019-01-23,Tochigi,5031599,2814,36.95,0,0,0,0,0,0,0,0,0,15.431248384202897,7.942362237674335,86751.70689655172,48.51724137931034,0,0
2019-01-23,Gunma,8069383,2441,39.2,0,0,0,0,0,0,0,0,0,15.903587581313309,7.80016307039296,80693.83,24.41,0,0
2019-01-23,Yamanashi,1501023,583,36.41,0,0,0,0,0,0,0,0,0,14.221657433616123,6.368187186350492,83390.16666666667,32.388888888888886,0,0
2019-01-23,Nagano,4735220,2725,32.72,0.16666666666666666,0,0,0,0,0,0,0,0,15.370538746036166,7.9102237070973445,69635.58823529411,40.0735294117647,0,0
2019-01-23,Shizuoka,8726081,3931,45.62,0,0,0,0,0,0,0,0,0,15.981826915226321,8.27664912542186,75224.83620689655,33.88793103448276,0,0
2019-01-24,Ibaraki,9481902,3469,39.2,0,0,0,0,0,0,0,0,0,16.064895487018507,8.15162164696975,110254.67441860466,40.33720930232558,0,0
2019-01-24,Tochigi,6121548,2900,38.66,0,0,0,0,0,0,0,0,0,15.627325563680753,7.9724660159745655,105543.93103448275,50,0,0
2019-01-24,Gunma,8203654,2549,39.56,0,0,0,0,0,0,0,0,0,15.920090222736036,7.8434564043761155,82036.54,25.49,0,0
2019-01-24,Yamanashi,1453482,632,38.12,0,0,0,0,0,0,0,0,0,14.189472615003458,6.448889394146858,80749,35.111111111111114,0,0
2019-01-24,Nagano,4553358,2656,33.14,0.16666666666666666,0,0,0,0,0,0,0,0,15.331375540700856,7.884576510596324,66961.14705882352,39.05882352941177,0,0
2019-01-24,Shizuoka,9262412,4407,45.38,0,0,0,0,0,0,0,0,0,16.041475047866584,8.390949464841986,79848.37931034483,37.991379310344826,0,0
2019-01-25,Ibaraki,14557542,4955,36.86,0,0,0,0,0,0,0,0,0,16.493619767800016,8.508152446764088,169273.7441860465,57.616279069767444,0,0
2019-01-25,Tochigi,9641929,4153,36.59,0,0,0,0,0,0,0,0,0,16.081631750303085,8.331586243630754,166240.1551724138,71.60344827586206,0,0
2019-01-25,Gunma,17762642,4652,40.01,0,0,0,0,0,0,0,0,0,16.6926080457257,8.445052513638554,177626.42,46.52,0,0
2019-01-25,Yamanashi,2681375,821,33.08,0,0,0,0,0,0,0,0,0,14.801840280618404,6.710523109452428,148965.27777777778,45.611111111111114,0,0
2019-01-25,Nagano,7724546,3520,30.74,0,0,0,0,0,0,0,0,0,15.859913608794509,8.166216268592143,113596.26470588235,51.76470588235294,0,0
2019-01-25,Shizuoka,16893817,6046,43.16,0,0,0,0,0,0,0,0,0,16.642458254962776,8.707152175339404,145636.35344827586,52.12068965517241,0,0
2019-01-26,Ibaraki,17831614,6221,37.16,0.3333333333333333,0,0,0,0,0,0,0,0,16.696483507335312,8.73568594451502,207344.3488372093,72.33720930232558,0,0
2019-01-26,Tochigi,12793212,5917,37.31,0,0,0,0,0,0,0,0,0,16.36442527572444,8.685584842676693,220572.62068965516,102.01724137931035,0,0
2019-01-26,Gunma,19622476,5390,37.22,0,0,0,0,0,0,0,0,0,16.792186201896616,8.592300663903043,196224.76,53.9,0,0
2019-01-26,Yamanashi,3241671,1154,32.72,0,0,0,0,0,0,0,0,0,14.991599495560706,7.050989447068045,180092.83333333334,64.11111111111111,0,0
2019-01-26,Nagano,10013390,4994,30.14,4.333333333333333,0,0,0,0,0,0,0,0,16.11943375529726,8.515992470839718,147255.73529411765,73.44117647058823,0,0
2019-01-26,Shizuoka,21982031,8834,42.019999999999996,0,0,0,0,0,0,0,0,0,16.905735904854733,9.086363192156472,189500.2672413793,76.15517241379311,0,0
2019-01-27,Ibaraki,10889019,4167,36.8,0,0,0,0,0,0,0,0,0,16.20326540820683,8.334951631422454,126616.5,48.45348837209303,0,0
2019-01-27,Tochigi,8721482,4908,35.69,0,0,0,0,0,0,0,0,0,15.981299735573035,8.498621805830801,150370.37931034484,84.62068965517241,0,0
2019-01-27,Gunma,9317703,3495,36.14,0.25,0,0,0,0,0,0,0,0,16.04742669705824,8.15908865466791,93177.03,34.95,0,0
2019-01-27,Yamanashi,2539590,1041,33.62,0,0,0,0,0,0,0,0,0,14.747513208642706,6.947937068614969,141088.33333333334,57.833333333333336,0,0
2019-01-27,Nagano,6356760,4022,28.52,0.5,0,0,0,0,0,0,0,0,15.665029371548473,8.299534570332597,93481.76470588235,59.14705882352941,0,0
2019-01-27,Shizuoka,10946426,6344,40.4,0,0,0,0,0,0,0,0,0,16.208523568255032,8.755264763314685,94365.74137931035,54.689655172413794,0,0
2019-01-28,Ibaraki,6938727,2684,39.38,0,0,0,0,0,0,0,0,0,15.752628886262945,7.895063498091573,80682.87209302325,31.209302325581394,0,0
2019-01-28,Tochigi,3661730,2018,38.48,0,0,0,0,0,0,0,0,0,15.113446271296313,7.609862200913554,63133.275862068964,34.793103448275865,0,0
2019-01-28,Gunma,5474734,1901,39.74,0,0,0,0,0,0,0,0,0,15.515654248011689,7.550135342488429,54747.34,19.01,0,0
2019-01-28,Yamanashi,1250837,434,35.51,0,0,0,0,0,0,0,0,0,14.039323485196428,6.073044534100405,69490.94444444444,24.11111111111111,0,0
2019-01-28,Nagano,3538810,2311,31.46,2.3333333333333335,0,0,0,0,0,0,0,0,15.079301070404036,7.745435610274381,52041.32352941176,33.98529411764706,0,0
2019-01-28,Shizuoka,7253201,3389,43.46,0,0,0,0,0,0,0,0,0,15.79695344663218,8.128290171607052,62527.59482758621,29.21551724137931,0,0
2019-01-29,Ibaraki,8066799,3060,39.62,0,0,0,0,0,0,0,0,0,15.903267307282922,8.026170194946426,93799.98837209302,35.58139534883721,0,0
2019-01-29,Tochigi,5138354,2737,39.38,0,0,0,0,0,0,0,0,0,15.452243352682629,7.914617709040679,88592.31034482758,47.189655172413794,0,0
2019-01-29,Gunma,8421800,2392,39.38,0,0,0,0,0,0,0,0,0,15.946334140093612,7.779885115070522,84218,23.92,0,0
2019-01-29,Yamanashi,1302338,460,36.86,0,0,0,0,0,0,0,0,0,14.079671668674681,6.131226489483141,72352.11111111111,25.555555555555557,0,0
