日付,時間帯,市区町村,平休日フラグ,都道府県,人流
2019/01/14,day,19214:中央市,休日,19:山梨県,29754
2019/01/14,day,19213:甲州市,休日,19:山梨県,30602
2019/01/14,day,19212:上野原市,休日,19:山梨県,26184
2019/01/14,day,19211:笛吹市,休日,19:山梨県,73031
2019/01/14,day,19210:甲斐市,休日,19:山梨県,70050
2019/01/14,day,19209:北杜市,休日,19:山梨県,52694
2019/01/14,day,19208:南アルプス市,休日,19:山梨県,66748
2019/01/14,day,19207:韮崎市,休日,19:山梨県,30547
2019/01/14,day,19206:大月市,休日,19:山梨県,27145
2019/01/14,day,19205:山梨市,休日,19:山梨県,35608
2019/01/14,day,19204:都留市,休日,19:山梨県,29808
2019/01/14,day,19202:富士吉田市,休日,19:山梨県,49096
2019/01/14,day,19201:甲府市,休日,19:山梨県,187329
2019/01/15,day,19443:丹波山村,平日,19:山梨県,957
2019/01/15,day,19442:小菅村,平日,19:山梨県,751
2019/01/15,day,19430:富士河口湖町,平日,19:山梨県,26546
2019/01/15,day,19429:鳴沢村,平日,19:山梨県,3732
2019/01/15,day,19425:山中湖村,平日,19:山梨県,8573
2019/01/15,day,19424:忍野村,平日,19:山梨県,8350
2019/01/15,day,19423:西桂町,平日,19:山梨県,4211
2019/01/15,day,19422:道志村,平日,19:山梨県,1401
2019/01/15,day,19384:昭和町,平日,19:山梨県,28034
2019/01/15,day,19368:富士川町,平日,19:山梨県,13851
2019/01/15,day,19366:南部町,平日,19:山梨県,7405
2019/01/15,day,19365:身延町,平日,19:山梨県,12379
2019/01/15,day,19364:早川町,平日,19:山梨県,1584
2019/01/15,day,19346:市川三郷町,平日,19:山梨県,12853
2019/01/15,day,19214:中央市,平日,19:山梨県,31744
2019/01/15,day,19213:甲州市,平日,19:山梨県,27631
2019/01/15,day,19212:上野原市,平日,19:山梨県,22595
2019/01/15,day,19211:笛吹市,平日,19:山梨県,70221
2019/01/15,day,19210:甲斐市,平日,19:山梨県,61356
2019/01/15,day,19209:北杜市,平日,19:山梨県,46443
2019/01/15,day,19208:南アルプス市,平日,19:山梨県,62337
2019/01/15,day,19207:韮崎市,平日,19:山梨県,35474
2019/01/15,day,19206:大月市,平日,19:山梨県,23550
2019/01/15,day,19205:山梨市,平日,19:山梨県,32227
2019/01/15,day,19204:都留市,平日,19:山梨県,29046
2019/01/15,day,19202:富士吉田市,平日,19:山梨県,49428
2019/01/15,day,19201:甲府市,平日,19:山梨県,205375
2019/01/16,day,19443:丹波山村,平日,19:山梨県,969
2019/01/16,day,19442:小菅村,平日,19:山梨県,669
2019/01/16,day,19430:富士河口湖町,平日,19:山梨県,25719
2019/01/16,day,19429:鳴沢村,平日,19:山梨県,3571
2019/01/16,day,19425:山中湖村,平日,19:山梨県,8341
2019/01/16,day,19424:忍野村,平日,19:山梨県,8100
2019/01/16,day,19423:西桂町,平日,19:山梨県,4070
2019/01/16,day,19422:道志村,平日,19:山梨県,1430
2019/01/16,day,19384:昭和町,平日,19:山梨県,27840
2019/01/16,day,19368:富士川町,平日,19:山梨県,14062
2019/01/16,day,19366:南部町,平日,19:山梨県,7204
2019/01/16,day,19365:身延町,平日,19:山梨県,12100
2019/01/16,day,19364:早川町,平日,19:山梨県,1467
2019/01/16,day,19346:市川三郷町,平日,19:山梨県,13135
2019/01/16,day,19214:中央市,平日,19:山梨県,31531
2019/01/16,day,19213:甲州市,平日,19:山梨県,27314
2019/01/16,day,19212:上野原市,平日,19:山梨県,22434
2019/01/16,day,19211:笛吹市,平日,19:山梨県,68922
2019/01/16,day,19210:甲斐市,平日,19:山梨県,63060
2019/01/16,day,19209:北杜市,平日,19:山梨県,44957
