"","Date_approval","city","sum"
"582","2020-12-11","早川町",0
"583","2020-12-11","身延町",0
"584","2020-12-11","南部町",3
"585","2020-12-11","富士川町",4
"586","2020-12-11","昭和町",6
"587","2020-12-11","道志村",0
"588","2020-12-11","西桂町",0
"589","2020-12-11","忍野村",1
"590","2020-12-11","山中湖村",3
"591","2020-12-11","鳴沢村",0
"592","2020-12-11","富士河口湖町",9
"593","2020-12-11","小菅村",0
"594","2020-12-11","丹波山村",2
"595","2020-12-18","甲府市",11
"596","2020-12-18","富士吉田市",8
"597","2020-12-18","都留市",4
"598","2020-12-18","山梨市",3
"599","2020-12-18","大月市",0
"600","2020-12-18","韮崎市",0
"601","2020-12-18","南アルプス市",3
"602","2020-12-18","北杜市",6
"603","2020-12-18","甲斐市",2
"604","2020-12-18","笛吹市",6
"605","2020-12-18","上野原市",0
"606","2020-12-18","甲州市",4
"607","2020-12-18","中央市",0
"608","2020-12-18","市川三郷町",0
"609","2020-12-18","早川町",0
"610","2020-12-18","身延町",0
"611","2020-12-18","南部町",0
"612","2020-12-18","富士川町",0
"613","2020-12-18","昭和町",2
"614","2020-12-18","道志村",0
"615","2020-12-18","西桂町",0
"616","2020-12-18","忍野村",3
"617","2020-12-18","山中湖村",2
"618","2020-12-18","鳴沢村",1
"619","2020-12-18","富士河口湖町",6
"620","2020-12-18","小菅村",0
"621","2020-12-18","丹波山村",0
"622","2020-12-25","甲府市",13
"623","2020-12-25","富士吉田市",10
"624","2020-12-25","都留市",3
"625","2020-12-25","山梨市",2
"626","2020-12-25","大月市",0
"627","2020-12-25","韮崎市",2
"628","2020-12-25","南アルプス市",3
"629","2020-12-25","北杜市",4
"630","2020-12-25","甲斐市",4
"631","2020-12-25","笛吹市",8
"632","2020-12-25","上野原市",0
"633","2020-12-25","甲州市",4
"634","2020-12-25","中央市",2
"635","2020-12-25","市川三郷町",0
"636","2020-12-25","早川町",1
"637","2020-12-25","身延町",3
"638","2020-12-25","南部町",1
"639","2020-12-25","富士川町",1
"640","2020-12-25","昭和町",4
"641","2020-12-25","道志村",0
"642","2020-12-25","西桂町",0
"643","2020-12-25","忍野村",1
"644","2020-12-25","山中湖村",3
"645","2020-12-25","鳴沢村",0
"646","2020-12-25","富士河口湖町",22
"647","2020-12-25","小菅村",0
"648","2020-12-25","丹波山村",0
"649","2021-01-08","甲府市",10
"650","2021-01-08","富士吉田市",7
"651","2021-01-08","都留市",3
"652","2021-01-08","山梨市",3
"653","2021-01-08","大月市",0
"654","2021-01-08","韮崎市",0
"655","2021-01-08","南アルプス市",2
"656","2021-01-08","北杜市",4
"657","2021-01-08","甲斐市",3
"658","2021-01-08","笛吹市",6
"659","2021-01-08","上野原市",0
"660","2021-01-08","甲州市",1
"661","2021-01-08","中央市",1
"662","2021-01-08","市川三郷町",0
"663","2021-01-08","早川町",0
"664","2021-01-08","身延町",1
"665","2021-01-08","南部町",0
"666","2021-01-08","富士川町",0
"667","2021-01-08","昭和町",2
"668","2021-01-08","道志村",0
"669","2021-01-08","西桂町",0
"670","2021-01-08","忍野村",1
"671","2021-01-08","山中湖村",2
"672","2021-01-08","鳴沢村",0
"673","2021-01-08","富士河口湖町",9
"674","2021-01-08","小菅村",0
"675","2021-01-08","丹波山村",0
