代表観測地点,時間帯,期間(週次),滞在人口の推定居住地,2019年同週比 [%]
栃木県全体,すべての時間帯,2021年7月第4週,都道府県外,6.220847367
栃木県全体,すべての時間帯,2021年7月第5週,市区町村内,3.422572306
栃木県全体,すべての時間帯,2021年7月第5週,都道府県内,-6.796043312
栃木県全体,すべての時間帯,2021年7月第5週,都道府県外,-21.497553766
栃木県全体,すべての時間帯,2021年8月第1週,市区町村内,4.084165920
栃木県全体,すべての時間帯,2021年8月第1週,都道府県内,-8.063655455
栃木県全体,すべての時間帯,2021年8月第1週,都道府県外,-21.177292188
栃木県全体,すべての時間帯,2021年8月第2週,市区町村内,7.974919935
栃木県全体,すべての時間帯,2021年8月第2週,都道府県内,-25.100776886
栃木県全体,すべての時間帯,2021年8月第2週,都道府県外,-22.819685285
栃木県全体,すべての時間帯,2021年8月第3週,市区町村内,8.623340540
栃木県全体,すべての時間帯,2021年8月第3週,都道府県内,8.824145439
栃木県全体,すべての時間帯,2021年8月第3週,都道府県外,-58.065324092
栃木県全体,すべての時間帯,2021年8月第4週,市区町村内,5.773900922
栃木県全体,すべての時間帯,2021年8月第4週,都道府県内,-12.683000817
栃木県全体,すべての時間帯,2021年8月第4週,都道府県外,-27.978110559
栃木県全体,すべての時間帯,2021年9月第1週,市区町村内,5.406801965
栃木県全体,すべての時間帯,2021年9月第1週,都道府県内,-14.209763429
栃木県全体,すべての時間帯,2021年9月第1週,都道府県外,-39.018234088
栃木県全体,すべての時間帯,2021年9月第2週,市区町村内,5.187521365
栃木県全体,すべての時間帯,2021年9月第2週,都道府県内,-13.590484640
栃木県全体,すべての時間帯,2021年9月第2週,都道府県外,-27.233726574
栃木県全体,すべての時間帯,2021年9月第3週,市区町村内,5.043203839
栃木県全体,すべての時間帯,2021年9月第3週,都道府県内,-9.742726577
栃木県全体,すべての時間帯,2021年9月第3週,都道府県外,-29.531300285
栃木県全体,すべての時間帯,2021年9月第4週,市区町村内,4.607544635
栃木県全体,すべての時間帯,2021年9月第4週,都道府県内,-10.385003950
栃木県全体,すべての時間帯,2021年9月第4週,都道府県外,-22.899811187
栃木県全体,すべての時間帯,2021年9月第5週,市区町村内,2.961650733
栃木県全体,すべての時間帯,2021年9月第5週,都道府県内,-5.480483964
栃木県全体,すべての時間帯,2021年9月第5週,都道府県外,-25.685171563
栃木県全体,すべての時間帯,2021年10月第1週,市区町村内,2.780588971
栃木県全体,すべての時間帯,2021年10月第1週,都道府県内,-6.468342398
栃木県全体,すべての時間帯,2021年10月第1週,都道府県外,-6.005801018
