"","週","week","city","population_inflow","agrgt潜在的感染者人流_lag1","agrgt潜在的感染者人流_lag2","in_risk_lag1","in_risk_lag2"
"186","202002_W2",2020-02-10,"道志村",1861,0.000214971041593777,0.000398692122935538,1.65852455977403e-11,3.6526134385674e-11
"187","202002_W2",2020-02-10,"都留市",31162,0.000874200547072882,0.00170284322646071,7.36963407047533e-11,1.65099251109763e-10
"188","202002_W2",2020-02-10,"韮崎市",32070,0.000663136320046967,0.0015726752510498,5.63314956633813e-11,1.47454681039028e-10
"189","202002_W2",2020-02-10,"鳴沢村",3936,0.00055532472018195,0.00153864593311914,4.81483046957821e-11,1.51329051686172e-10
"190","202002_W3",2020-02-17,"上野原市",23697,0.00420338953244,0.0048318262896177,3.79908649399858e-10,6.50172323450071e-10
"191","202002_W3",2020-02-17,"中央市",30169,0.000877902094724109,0.00116797268889568,8.89361642031448e-11,2.24879189899227e-10
"192","202002_W3",2020-02-17,"丹波山村",622,0.000213598216007439,0.00020085697283329,1.82975746679674e-11,1.89057319115777e-11
"193","202002_W3",2020-02-17,"北杜市",49229,0.00651038277540026,0.00919467791343251,6.59001426921864e-10,1.77365942316678e-09
"194","202002_W3",2020-02-17,"南アルプス市",61916,0.00114007594930878,0.00144931959252903,9.97015732547219e-11,2.52622737183282e-10
"195","202002_W3",2020-02-17,"南部町",7845,0.00021198403996416,0.000663714435249424,2.51499659161423e-11,1.22087950145039e-10
"196","202002_W3",2020-02-17,"大月市",23739,0.00449677121984451,0.00689045072464339,5.23497942886106e-10,1.10728425663995e-09
"197","202002_W3",2020-02-17,"富士吉田市",49729,0.00285787761644858,0.00355599051806008,3.13129320694691e-10,4.81421574349674e-10
"198","202002_W3",2020-02-17,"富士川町",13374,0.000111763558494492,0.000242831758552804,1.06067735837221e-11,6.20931613991016e-11
"199","202002_W3",2020-02-17,"富士河口湖町",31330,0.00479269685768443,0.00616141412369913,6.44135955822554e-10,9.89951408220242e-10
"200","202002_W3",2020-02-17,"小菅村",702,6.19054274977236e-05,5.18895829855398e-05,5.54203952562973e-12,4.59254803099674e-12
"201","202002_W3",2020-02-17,"山中湖村",9967,0.00325455375675727,0.00431040082717527,4.61531097337221e-10,6.91122979341472e-10
"202","202002_W3",2020-02-17,"山梨市",32500,0.00132514160450981,0.00143690511524804,1.36223973812888e-10,2.12388020461044e-10
"203","202002_W3",2020-02-17,"市川三郷町",13833,0.000262968379259916,0.000317733394157168,2.3998984322164e-11,4.71167777516242e-11
"204","202002_W3",2020-02-17,"忍野村",8810,0.000509562574408319,0.000805101378141259,5.13914434595262e-11,1.14500065119204e-10
"205","202002_W3",2020-02-17,"早川町",1289,0.000275461773903956,0.000238917331305948,2.23468984307496e-11,2.0117484213479e-11
"206","202002_W3",2020-02-17,"昭和町",26784,0.00105685988089873,0.0016848584698682,1.07995052205544e-10,3.10230691843117e-10
"207","202002_W3",2020-02-17,"甲州市",29150,0.00183249852782635,0.00204065995146499,1.80864245293486e-10,2.9076509714559e-10
"208","202002_W3",2020-02-17,"甲府市",205713,0.0112169038146055,0.0141169997551165,1.25668038933398e-09,2.43733725950729e-09
"209","202002_W3",2020-02-17,"甲斐市",66981,0.0017895392664824,0.00276452243794464,1.77723300681014e-10,5.89577613963799e-10
"210","202002_W3",2020-02-17,"笛吹市",71209,0.00570129353807073,0.00690561033553235,5.46249574933686e-10,1.0456630700012e-09
"211","202002_W3",2020-02-17,"西桂町",3713,8.34690765062271e-05,9.97692909151005e-05,8.20355773847516e-12,1.13558414866789e-11
"212","202002_W3",2020-02-17,"身延町",13258,0.000858829360505528,0.00131015452109211,1.02996739388857e-10,2.19624467923584e-10
