"","公表日","city","Nofcases"
"521",2020-07-12,"富士吉田市",0
"522",2020-07-12,"富士川町",0
"523",2020-07-12,"富士河口湖町",0
"524",2020-07-12,"小菅村",0
"525",2020-07-12,"山中湖村",0
"526",2020-07-12,"山梨市",0
"527",2020-07-12,"市川三郷町",0
"528",2020-07-12,"忍野村",0
"529",2020-07-12,"早川町",0
"530",2020-07-12,"昭和町",0
"531",2020-07-12,"甲州市",0
"532",2020-07-12,"甲府市",1
"533",2020-07-12,"甲斐市",0
"534",2020-07-12,"笛吹市",0
"535",2020-07-12,"西桂町",0
"536",2020-07-12,"身延町",0
"537",2020-07-12,"道志村",0
"538",2020-07-12,"都留市",0
"539",2020-07-12,"韮崎市",0
"540",2020-07-12,"鳴沢村",0
"541",2020-07-19,"上野原市",0.129
"542",2020-07-19,"中央市",0.067
"543",2020-07-19,"丹波山村",0.003
"544",2020-07-19,"北杜市",0.101
"545",2020-07-19,"南アルプス市",0.155
"546",2020-07-19,"南部町",0
"547",2020-07-19,"大月市",0.133
"548",2020-07-19,"富士吉田市",0.273
"549",2020-07-19,"富士川町",0
"550",2020-07-19,"富士河口湖町",0.15
"551",2020-07-19,"小菅村",0.004
"552",2020-07-19,"山中湖村",0.033
"553",2020-07-19,"山梨市",0
"554",2020-07-19,"市川三郷町",0
"555",2020-07-19,"忍野村",0.054
"556",2020-07-19,"早川町",0
"557",2020-07-19,"昭和町",0.044
"558",2020-07-19,"甲州市",0
"559",2020-07-19,"甲府市",6.406
"560",2020-07-19,"甲斐市",0.886
"561",2020-07-19,"笛吹市",0
"562",2020-07-19,"西桂町",0.024
"563",2020-07-19,"身延町",0
"564",2020-07-19,"道志村",0.009
"565",2020-07-19,"都留市",0.169
"566",2020-07-19,"韮崎市",0.341
"567",2020-07-19,"鳴沢村",0.018
"568",2020-07-26,"上野原市",0
"569",2020-07-26,"中央市",0
"570",2020-07-26,"丹波山村",0
"571",2020-07-26,"北杜市",0
"572",2020-07-26,"南アルプス市",2.458
"573",2020-07-26,"南部町",0
"574",2020-07-26,"大月市",0
"575",2020-07-26,"富士吉田市",0.99
"576",2020-07-26,"富士川町",0
"577",2020-07-26,"富士河口湖町",0.544
"578",2020-07-26,"小菅村",0
"579",2020-07-26,"山中湖村",0.119
"580",2020-07-26,"山梨市",0
"581",2020-07-26,"市川三郷町",0
"582",2020-07-26,"忍野村",0.197
"583",2020-07-26,"早川町",0
"584",2020-07-26,"昭和町",0
"585",2020-07-26,"甲州市",0
"586",2020-07-26,"甲府市",4.865
"587",2020-07-26,"甲斐市",3.708
"588",2020-07-26,"笛吹市",0
"589",2020-07-26,"西桂町",0.087
"590",2020-07-26,"身延町",0
"591",2020-07-26,"道志村",0
"592",2020-07-26,"都留市",0
"593",2020-07-26,"韮崎市",0.97
"594",2020-07-26,"鳴沢村",0.064
"595",2020-08-02,"上野原市",0.505
"596",2020-08-02,"中央市",0.098
"597",2020-08-02,"丹波山村",0.002
"598",2020-08-02,"北杜市",0.146
"599",2020-08-02,"南アルプス市",1.225
"600",2020-08-02,"南部町",0.024
"601",2020-08-02,"大月市",0.074
"602",2020-08-02,"富士吉田市",2.627
"603",2020-08-02,"富士川町",0.047
"604",2020-08-02,"富士河口湖町",1.444
"605",2020-08-02,"小菅村",0.002
"606",2020-08-02,"山中湖村",0.314
"607",2020-08-02,"山梨市",0.108
"608",2020-08-02,"市川三郷町",0.049
"609",2020-08-02,"忍野村",0.521
"610",2020-08-02,"早川町",0.003
"611",2020-08-02,"昭和町",0.064
"612",2020-08-02,"甲州市",0.098
"613",2020-08-02,"甲府市",18.174
"614",2020-08-02,"甲斐市",0.525
"615",2020-08-02,"笛吹市",0.755
"616",2020-08-02,"西桂町",0.23
"617",2020-08-02,"身延町",0.036
"618",2020-08-02,"道志村",0.005
"619",2020-08-02,"都留市",0.661
"620",2020-08-02,"韮崎市",0.092
"621",2020-08-02,"鳴沢村",0.17
"622",2020-08-09,"上野原市",0.064
"623",2020-08-09,"中央市",0.991
"624",2020-08-09,"丹波山村",0.002
"625",2020-08-09,"北杜市",0.129
"626",2020-08-09,"南アルプス市",1.897
"627",2020-08-09,"南部町",0.021
"628",2020-08-09,"大月市",0.066
"629",2020-08-09,"富士吉田市",0.135
"630",2020-08-09,"富士川町",0.041
"631",2020-08-09,"富士河口湖町",0.074
"632",2020-08-09,"小菅村",0.002
"633",2020-08-09,"山中湖村",0.016
"634",2020-08-09,"山梨市",0.251
"635",2020-08-09,"市川三郷町",0.044
"636",2020-08-09,"忍野村",0.027
"637",2020-08-09,"早川町",0.003
"638",2020-08-09,"昭和町",0.455
"639",2020-08-09,"甲州市",0.087
"640",2020-08-09,"甲府市",5.073
"641",2020-08-09,"甲斐市",0.211
"642",2020-08-09,"笛吹市",0.193
"643",2020-08-09,"西桂町",0.012
"644",2020-08-09,"身延町",0.032
"645",2020-08-09,"道志村",0.005
"646",2020-08-09,"都留市",0.083
"647",2020-08-09,"韮崎市",0.081
"648",2020-08-09,"鳴沢村",0.009
"649",2020-08-16,"上野原市",0.604
"650",2020-08-16,"中央市",0.356
"651",2020-08-16,"丹波山村",0.014
"652",2020-08-16,"北杜市",0.534
"653",2020-08-16,"南アルプス市",0.827
"654",2020-08-16,"南部町",0.009
"655",2020-08-16,"大月市",0.623
"656",2020-08-16,"富士吉田市",0.059
"657",2020-08-16,"富士川町",0.018
"658",2020-08-16,"富士河口湖町",0.032
"659",2020-08-16,"小菅村",0.019
"660",2020-08-16,"山中湖村",0.007
"661",2020-08-16,"山梨市",0.042
"662",2020-08-16,"市川三郷町",0.019
"663",2020-08-16,"忍野村",0.012
"664",2020-08-16,"早川町",0.001
"665",2020-08-16,"昭和町",1.158
"666",2020-08-16,"甲州市",0.038
"667",2020-08-16,"甲府市",16.877
"668",2020-08-16,"甲斐市",0.583
"669",2020-08-16,"笛吹市",0.084
"670",2020-08-16,"西桂町",0.005
"671",2020-08-16,"身延町",0.014
"672",2020-08-16,"道志村",0.044
"673",2020-08-16,"都留市",0.792
"674",2020-08-16,"韮崎市",0.225
"675",2020-08-16,"鳴沢村",0.004
"676",2020-08-23,"上野原市",0
"677",2020-08-23,"中央市",0.134
"678",2020-08-23,"丹波山村",0
"679",2020-08-23,"北杜市",0.527
"680",2020-08-23,"南アルプス市",1.31
"681",2020-08-23,"南部町",0
"682",2020-08-23,"大月市",0
"683",2020-08-23,"富士吉田市",0.495
"684",2020-08-23,"富士川町",0
"685",2020-08-23,"富士河口湖町",0.272
"686",2020-08-23,"小菅村",0
"687",2020-08-23,"山中湖村",0.059
"688",2020-08-23,"山梨市",0.512
"689",2020-08-23,"市川三郷町",0
"690",2020-08-23,"忍野村",0.098
"691",2020-08-23,"早川町",0
"692",2020-08-23,"昭和町",0.233
"693",2020-08-23,"甲州市",0.462
"694",2020-08-23,"甲府市",0.812
"695",2020-08-23,"甲斐市",0.858
"696",2020-08-23,"笛吹市",1.027
"697",2020-08-23,"西桂町",0.043
"698",2020-08-23,"身延町",0
"699",2020-08-23,"道志村",0
"700",2020-08-23,"都留市",0
"701",2020-08-23,"韮崎市",0.126
"702",2020-08-23,"鳴沢村",0.032
"703",2020-08-30,"上野原市",0
"704",2020-08-30,"中央市",0
"705",2020-08-30,"丹波山村",0
"706",2020-08-30,"北杜市",0
"707",2020-08-30,"南アルプス市",0
"708",2020-08-30,"南部町",0
"709",2020-08-30,"大月市",0
"710",2020-08-30,"富士吉田市",0
"711",2020-08-30,"富士川町",0
"712",2020-08-30,"富士河口湖町",0
"713",2020-08-30,"小菅村",0
"714",2020-08-30,"山中湖村",0
"715",2020-08-30,"山梨市",0.526
"716",2020-08-30,"市川三郷町",0
"717",2020-08-30,"忍野村",0
"718",2020-08-30,"早川町",0
"719",2020-08-30,"昭和町",0
"720",2020-08-30,"甲州市",0.474
