date,type,customers
2020-06-24,counterfactual,29.04965118716853
2020-06-24,actual,31.5
2020-06-25,fitted,29.170035481080703
2020-06-25,counterfactual,29.170035481080923
2020-06-25,actual,32.77777777777778
2020-06-26,fitted,43.76959702997813
2020-06-26,counterfactual,43.769597029977426
2020-06-26,actual,41.55555555555556
2020-06-27,fitted,63.56478485601193
2020-06-27,counterfactual,63.56478485601222
2020-06-27,actual,65.77777777777777
2020-06-28,fitted,42.411927908913015
2020-06-28,counterfactual,42.41192790891345
2020-06-28,actual,50.388888888888886
2020-06-29,fitted,24.01912753925127
2020-06-29,counterfactual,24.019127539251524
2020-06-29,actual,30.22222222222222
2020-06-30,fitted,25.237772922350885
2020-06-30,counterfactual,25.237772922351123
2020-06-30,actual,28.22222222222222
2020-07-01,fitted,25.48038850757718
2020-07-01,counterfactual,25.48038850757742
2020-07-01,actual,30.11111111111111
2020-07-02,fitted,28.928355652631016
2020-07-02,counterfactual,28.92835565263171
2020-07-02,actual,34.05555555555556
2020-07-03,fitted,40.08656051870931
2020-07-03,counterfactual,40.08656051870999
2020-07-03,actual,39.77777777777778
2020-07-04,fitted,57.220896221808104
2020-07-04,counterfactual,57.22089622180928
2020-07-04,actual,62.94444444444444
2020-07-05,fitted,43.86534510534158
2020-07-05,counterfactual,43.86534510534069
2020-07-05,actual,53
2020-07-06,fitted,21.79792231423604
2020-07-06,counterfactual,21.79792231423632
2020-07-06,actual,28.166666666666668
2020-07-07,fitted,25.718560530345954
2020-07-07,counterfactual,25.718560530346274
2020-07-07,actual,28.61111111111111
2020-07-08,fitted,26.93930453904379
2020-07-08,counterfactual,26.939304539044265
2020-07-08,actual,28.38888888888889
2020-07-09,fitted,27.212895639506264
2020-07-09,counterfactual,27.212895639506485
2020-07-09,actual,30
2020-07-10,fitted,41.83268245632645
2020-07-10,counterfactual,41.832682456326744
2020-07-10,actual,40.44444444444444
2020-07-11,fitted,58.1595343431759
2020-07-11,counterfactual,58.159534343175075
2020-07-11,actual,63.611111111111114
2020-07-12,fitted,46.643941044358556
2020-07-12,counterfactual,46.64394104436042
2020-07-12,actual,60.333333333333336
2020-07-13,fitted,24.53678689890103
2020-07-13,counterfactual,24.536786898901347
2020-07-13,actual,30.77777777777778
2020-07-14,fitted,25.071779449840665
2020-07-14,counterfactual,25.071779449840868
2020-07-14,actual,26.833333333333332
2020-07-15,fitted,29.20968482910241
2020-07-15,counterfactual,29.209684829102944
2020-07-15,actual,29.38888888888889
2020-07-16,fitted,30.41966262484309
2020-07-16,counterfactual,30.41966262484347
2020-07-16,actual,32.5
2020-07-17,fitted,41.87153446067667
2020-07-17,counterfactual,38.94690703160462
2020-07-17,actual,38
2020-07-18,fitted,60.52526510522601
2020-07-18,counterfactual,56.29771880775541
2020-07-18,actual,61.94444444444444
2020-07-19,fitted,47.34382957908794
2020-07-19,counterfactual,44.036975307617
2020-07-19,actual,56.22222222222222
2020-07-20,fitted,24.90521704654298
2020-07-20,counterfactual,23.16564667159683
2020-07-20,actual,34.611111111111114
2020-07-21,fitted,28.52227615064745
2020-07-21,counterfactual,26.530062771218926
2020-07-21,actual,31
2020-07-22,fitted,38.44863717687401
2020-07-22,counterfactual,35.763091009379835
2020-07-22,actual,33.5
2020-07-23,fitted,58.9487555074083
2020-07-23,counterfactual,54.83132466836262
2020-07-23,actual,75
2020-07-24,fitted,61.00144231760376
2020-07-24,counterfactual,56.74063617058712
2020-07-24,actual,76.61111111111111
2020-07-25,fitted,62.0489825683567
2020-07-25,counterfactual,57.71500821793414
2020-07-25,actual,69.38888888888889
2020-07-26,fitted,44.05629342508982
2020-07-26,counterfactual,40.97906576114221
2020-07-26,actual,55.611111111111114
2020-07-27,fitted,23.87191806383468
2020-07-27,counterfactual,22.20452117348109
2020-07-27,actual,37.666666666666664
2020-07-28,fitted,27.375157697836006
2020-07-28,counterfactual,25.463067823186954
2020-07-28,actual,30
2020-07-29,fitted,28.911923698164163
2020-07-29,counterfactual,26.892494361168865
2020-07-29,actual,30.944444444444443
2020-07-30,fitted,28.271981881181908
2020-07-30,counterfactual,26.297250963173525
2020-07-30,actual,34.05555555555556
